,AC,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BSA,BSD,BSH,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,Date,Div,FTAG,FTHG,FTR,GBA,GBD,GBH,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,LBA,LBD,LBH,Referee,SBA,SBD,SBH,SJA,SJD,SJH,VCA,VCD,VCH,WHA,WHD,WHH
35,11,7,0,12,8,1,Man City,1.57,3.8,6.5,1.57,3.75,5.5,1.5,3.7,6.0,37,21,0.0,1.81,1.94,1.58,1.18,4.29,3.67,5.99,1.92,2.04,1.65,1.21,4.65,4.01,6.84,30,2009-08-30,E0,1,0,A,1.57,3.6,6.25,3,12,0,11,6,1,0,A,2,Portsmouth,1.65,3.5,5.3,1.62,3.5,4.5,H Webb,1.53,3.6,5.75,1.57,3.75,6.5,1.62,3.6,5.5,1.57,3.8,6.0
36,6,16,0,9,5,2,Wolves,4.5,3.5,1.83,4.75,3.3,1.83,4.0,3.25,1.85,40,21,0.0,1.66,2.13,4.41,3.13,1.33,3.4,1.84,1.76,2.25,5.1,3.59,1.38,3.61,1.88,31,2009-09-12,E0,1,3,H,4.1,3.4,1.85,10,13,0,13,10,0,1,H,1,Blackburn,4.0,3.4,1.85,4.5,3.4,1.83,S Bennett,4.2,3.25,1.8,4.5,3.5,1.8,4.33,3.3,1.85,4.5,3.3,1.85
37,5,10,0,6,3,2,Burnley,15.0,6.5,1.2,17.0,6.0,1.2,11.0,5.55,1.2,40,19,0.0,2.24,1.6,15.25,11.71,1.02,6.31,1.19,2.38,1.68,23.0,15.28,1.04,7.3,1.21,31,2009-09-12,E0,0,4,H,13.0,6.0,1.2,7,8,0,27,16,0,2,H,0,Liverpool,13.0,5.3,1.22,15.0,7.0,1.17,L Mason,15.0,6.6,1.13,15.0,6.5,1.18,15.0,5.5,1.2,17.0,6.5,1.17
38,12,12,0,19,9,2,Arsenal,2.5,3.25,2.88,2.4,3.25,2.9,2.3,3.2,2.8,40,23,0.0,1.86,1.89,2.47,1.77,2.01,3.25,2.83,1.98,2.0,2.61,1.88,2.19,3.41,3.05,31,2009-09-12,E0,2,4,H,2.45,3.25,2.8,3,13,0,10,6,0,1,H,3,Man City,2.5,3.2,2.7,2.38,3.25,3.0,M Clattenburg,2.35,3.25,2.7,2.5,3.3,2.75,2.4,3.2,2.9,2.4,3.3,2.9
39,5,17,0,14,6,0,Bolton,2.8,3.2,2.6,2.9,3.25,2.4,2.6,3.15,2.5,33,18,0.0,1.63,2.19,2.82,2.01,1.79,3.2,2.51,1.7,2.33,3.02,2.15,1.84,3.3,2.64,27,2009-09-12,E0,3,2,A,2.75,3.2,2.5,7,17,0,21,11,2,1,A,2,Portsmouth,2.85,3.2,2.4,2.7,3.25,2.6,C Foy,2.6,3.2,2.5,2.88,3.2,2.5,2.7,3.2,2.5,2.88,3.2,2.5
40,14,11,0,18,10,3,Chelsea,1.4,4.5,9.0,1.4,4.33,8.5,1.4,4.0,7.25,40,20,0.0,1.81,1.94,1.39,1.1,6.32,4.33,8.52,1.9,2.09,1.42,1.12,7.0,4.84,9.9,31,2009-09-12,E0,2,1,A,1.4,4.0,9.0,4,13,0,4,2,1,1,D,3,Stoke,1.4,4.3,7.5,1.4,4.5,8.0,M Dean,1.35,4.2,8.0,1.4,4.33,8.5,1.4,4.0,8.5,1.36,4.6,9.0
41,8,15,0,6,5,2,Hull,5.0,3.5,1.75,5.0,3.4,1.75,4.5,3.25,1.75,40,21,0.0,1.69,2.08,4.81,3.34,1.3,3.46,1.76,1.78,2.2,5.5,3.75,1.33,3.68,1.85,31,2009-09-12,E0,1,4,H,4.75,3.3,1.77,7,18,0,7,4,1,1,D,2,Sunderland,4.3,3.4,1.8,5.0,3.25,1.8,M Atkinson,4.5,3.4,1.7,4.5,3.5,1.8,4.5,3.3,1.8,5.25,3.3,1.75
42,9,13,1,17,13,2,Man United,2.3,3.4,3.1,2.3,3.25,3.1,2.2,3.2,3.0,39,23,0.0,1.84,1.91,2.24,1.6,2.24,3.32,3.14,1.94,2.01,2.33,1.65,2.43,3.61,3.35,31,2009-09-12,E0,3,1,A,2.25,3.2,3.1,3,16,0,11,7,2,1,A,3,Tottenham,2.35,3.1,3.0,2.25,3.4,3.1,A Marriner,2.2,3.4,2.85,2.2,3.3,3.25,2.25,3.3,3.0,2.3,3.3,3.1
43,7,11,0,12,5,1,West Ham,3.25,3.25,2.3,3.1,3.2,2.3,3.05,3.25,2.15,40,22,0.0,1.6,2.25,3.14,2.19,1.63,3.25,2.27,1.68,2.45,3.34,2.34,1.71,3.4,2.44,31,2009-09-12,E0,0,1,H,3.0,3.25,2.3,6,13,0,12,6,0,0,D,2,Wigan,3.2,3.2,2.2,3.2,3.3,2.25,A Wiley,3.0,3.2,2.2,3.25,3.25,2.25,3.1,3.25,2.2,3.25,3.2,2.25
44,1,20,0,12,5,2,Aston Villa,2.25,3.25,3.4,2.3,3.2,3.1,2.2,3.2,3.0,40,21,0.0,1.63,2.18,2.2,1.56,2.32,3.25,3.28,1.72,2.35,2.3,1.62,2.52,3.4,3.69,30,2009-09-13,E0,1,0,A,2.2,3.2,3.2,7,10,0,11,7,0,0,D,1,Birmingham,2.3,3.2,3.0,2.25,3.2,3.3,H Webb,2.1,3.2,3.2,2.25,3.25,3.25,2.25,3.2,3.1,2.2,3.2,3.4
45,3,10,0,6,6,0,Everton,2.8,3.2,2.6,2.8,3.2,2.5,2.7,3.15,2.4,40,22,0.0,1.6,2.24,2.78,1.96,1.81,3.2,2.53,1.65,2.55,3.1,2.05,1.94,3.3,2.74,30,2009-09-13,E0,1,2,H,2.7,3.1,2.6,5,6,0,14,8,1,0,A,1,Fulham,2.85,3.2,2.4,2.8,3.3,2.5,P Walton,2.8,3.2,2.3,2.75,3.2,2.6,2.62,3.2,2.6,2.7,3.2,2.62
46,4,18,0,8,5,2,Wigan,13.0,5.5,1.25,12.0,4.75,1.29,10.0,5.0,1.25,39,21,0.0,2.24,1.6,12.96,10.13,1.04,5.47,1.24,2.4,1.66,16.43,12.29,1.06,6.0,1.29,32,2009-09-19,E0,0,4,H,13.0,5.5,1.22,6,6,0,23,11,0,1,H,2,Arsenal,13.0,5.3,1.22,11.0,6.5,1.22,M Jones,13.0,5.2,1.2,15.0,5.5,1.22,10.0,5.5,1.25,15.0,5.5,1.22
47,5,12,0,17,12,0,Portsmouth,10.0,4.2,1.4,9.0,3.8,1.44,9.0,4.0,1.35,39,22,0.0,1.91,1.84,9.09,6.83,1.08,4.13,1.4,2.01,1.93,11.38,8.0,1.1,4.5,1.44,32,2009-09-19,E0,0,2,H,9.0,4.0,1.4,7,17,0,7,5,0,2,H,2,Aston Villa,7.6,4.0,1.43,9.0,4.5,1.36,S Attwell,9.0,4.2,1.33,9.5,4.1,1.4,8.5,4.0,1.4,9.0,4.2,1.4
48,6,11,0,10,6,2,Stoke,3.75,3.25,2.1,3.75,3.1,2.1,3.5,3.15,2.0,39,22,0.0,1.67,2.12,3.55,2.52,1.49,3.24,2.09,1.74,2.27,3.96,2.83,1.54,3.32,2.17,32,2009-09-19,E0,1,1,D,3.5,3.25,2.05,4,6,0,11,5,0,0,D,2,Bolton,3.4,3.25,2.1,3.6,3.25,2.1,M Clattenburg,3.3,3.2,2.05,3.6,3.25,2.1,3.4,3.2,2.1,3.75,3.25,2.05
49,4,15,0,8,5,3,Sunderland,2.5,3.25,2.88,2.4,3.2,2.9,2.4,3.2,2.7,39,22,0.0,1.69,2.09,2.53,1.79,2.0,3.22,2.76,1.78,2.19,3.1,1.92,2.1,3.3,2.99,32,2009-09-19,E0,1,3,H,2.5,3.2,2.75,4,4,0,10,3,1,1,D,0,Burnley,2.65,3.2,2.55,2.5,3.3,2.8,C Foy,2.5,3.1,2.65,2.5,3.3,2.75,2.5,3.2,2.7,2.5,3.2,2.88
50,8,13,0,14,9,2,Birmingham,3.0,3.25,2.4,3.0,3.2,2.4,2.9,3.1,2.3,39,23,0.0,1.64,2.17,3.01,2.1,1.7,3.22,2.35,1.68,2.4,3.25,2.18,1.78,3.3,2.53,32,2009-09-19,E0,1,0,A,2.85,3.2,2.4,10,15,0,16,11,0,0,D,0,Hull,3.0,3.2,2.3,3.1,3.3,2.3,P Dowd,2.8,3.2,2.3,3.0,3.25,2.38,2.9,3.2,2.4,3.0,3.25,2.38
